OBJECTID;COD_ID;NOM;BARR;SUB;PAC;TEN_NOM;TEN_OPE;ATIP;RECONFIG;DIST;UNI_TR_S;ENE_01;ENE_02;ENE_03;ENE_04;ENE_05;ENE_06;ENE_07;ENE_08;ENE_09;ENE_10;ENE_11;ENE_12;PERD_A3a;PERD_A4;PERD_B;PERD_MED;PERD_A3a_B;PERD_A4_B;PERD_B_A3a;PERD_B_A4;PNTMT_01;PNTMT_02;PNTMT_03;PNTMT_04;PNTMT_05;PNTMT_06;PNTMT_07;PNTMT_08;PNTMT_09;PNTMT_10;PNTMT_11;PNTMT_12;PNTBT_01;PNTBT_02;PNTBT_03;PNTBT_04;PNTBT_05;PNTBT_06;PNTBT_07;PNTBT_08;PNTBT_09;PNTBT_10;PNTBT_11;PNTBT_12;DESCR;PERD_A3aA4;PERD_A4A3a
1;17067303;IBR-L1;404181344;12873436;56560487917146437MT;49;1.029000000000000;0;0;6600;12877171;312878.706873709980000;273682.425883480000000;291579.706921530010000;287133.674774900020000;301315.250759190010000;276222.489287059990000;280508.766700049980000;308602.173795629990000;337215.241393339990000;405640.334762279990000;354107.112846050000000;363762.830062940020000;0.000000000000000;4359.390000000000300;297430.664999999980000;11997.510000000000000;0.000000000000000;86297.085000000006000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;36623.340796130004000;20086.210026630000000;26048.497406610000000;16613.334788389999000;18878.320901229999000;25489.904739270001000;28300.107793409999000;36189.774149040000000;34932.604990009997000;53273.719264100000000;28495.406676179999000;40634.251545790001000;SE IBIARA;0.000000000000000;0.000000000000000
2;17067304;IBR-L2;404181344;12873436;56560312917147011MT;49;1.029000000000000;0;0;6600;12877171;335070.183785629980000;289122.695980540010000;302326.717316490020000;300289.714888030020000;322534.110282230020000;318305.005469880010000;343435.354285150010000;387892.549778189980000;416776.319972880010000;466981.324858270000000;413619.895333070020000;426970.129060850010000;0.000000000000000;74241.615000000005000;129366.509999999990000;18580.275000000001000;0.000000000000000;238636.230000000010000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;38482.871625890002000;20755.861034350000000;26324.666158040000000;16957.582566040001000;19803.565007640002000;29168.047489659999000;34798.767123040001000;45886.252345540001000;43400.600956560003000;60956.705061549997000;33167.035131420002000;47549.473861530001000;SE IBIARA;0.000000000000000;0.000000000000000
3;17067308;IBR-L4;273725354;12873436;56560193917147954MT;49;1.029000000000000;0;0;6600;12877171;566125.507868540010000;494875.711283060020000;516339.954794500020000;503229.537618110010000;538759.138188499960000;506261.288483279990000;532669.147168110010000;598086.516124140010000;655980.765853310000000;742844.930739669940000;660722.233159699940000;693322.900298109980000;0.000000000000000;315687.015000000010000;241779.195000000010000;23631.720000000001000;0.000000000000000;299816.054999999990000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;66510.709505239996000;36453.561439329998000;46140.571647110002000;29074.493248489998000;33819.607247159998000;47019.126529519999000;54452.304372380000000;71262.602440079994000;68976.054973510007000;98080.409455660003000;53571.931292759997000;78323.682391890005000;SE IBIARA;0.000000000000000;0.000000000000000
4;17067313;ITO-L2;12877667;12873433;59635125919295076MT;49;1.029000000000000;0;0;6600;12907810;2304022.754465229800000;2087468.470617899900000;2057213.032712930100000;1888612.887124530000000;1882157.683638860000000;1783419.528708329900000;1959620.682309849900000;2114084.046971519900000;2269432.538407390000000;2492887.920150070000000;2231483.237040699900000;2530894.962086339900000;0.000000000000000;517797.000000000000000;539252.805000000050000;70878.149999999994000;0.000000000000000;745169.354999999980000;0.000000000000000;0.000000000000000;11656.410413530000000;7038.903085740000300;8483.681377799999600;5510.074714639999900;5186.660847010000000;7902.280198700000300;9782.388905539999500;12067.051540660001000;10951.045922640000000;12874.002112370001000;7896.008390140000300;10256.421183470000000;286528.304714849980000;156635.595380820010000;192209.289735650000000;117441.916321800000000;134373.314674380000000;183054.707068910010000;216546.982967160000000;285489.990293600010000;275801.610249030000000;392044.509907910020000;214334.357544830010000;317681.240451420020000;SE ITAPORANGA;0.000000000000000;0.000000000000000
5;17067317;ITO-L4;12877667;12873433;59636090919296172MT;49;1.029000000000000;0;0;6600;12907810;947892.464342409980000;810003.832665159950000;836690.074450689950000;823358.571153479980000;859628.023021389960000;819078.308555649940000;903477.821333679950000;996677.206336990000000;1067171.961849210100000;1186754.505937220100000;1063946.087607299900000;1130120.619628459900000;0.000000000000000;689009.055000000050000;208253.640000000010000;54543.510000000002000;0.000000000000000;520234.469999999970000;0.000000000000000;0.000000000000000;986.181703729999980;522.885097289999980;708.848215839999970;349.929175919999980;556.033565820000040;919.427499349999950;1209.876512280000000;1532.722463390000000;1365.150347289999900;1735.068028969999900;1073.059408720000000;1624.998244720000000;127874.085487060000000;66906.596469750002000;84611.808068140002000;55301.951823809999000;63883.036782969997000;89208.382744470000000;107783.209315550000000;145095.208612110000000;139497.812381330000000;196101.244388390010000;109127.733071710000000;145025.484305560010000;SE ITAPORANGA;0.000000000000000;0.000000000000000
6;17067324;JRC-L1;12908333;12873430;63301317927424226MT;49;1.029000000000000;0;0;6600;12908379;672828.244017550020000;564771.027332230010000;589879.401889799980000;551171.383215110050000;549152.956625620020000;527538.380380779970000;570028.466245330060000;641743.499407839960000;667786.829288349950000;778213.132603270000000;731043.345357120040000;741222.324374250020000;0.000000000000000;50815.800000000003000;253016.715000000000000;21343.560000000001000;0.000000000000000;260860.739999999990000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;76636.829819070001000;41292.474046850002000;52031.246953770002000;33033.157512430000000;37367.742518970001000;51525.805611950003000;61189.503141039997000;79380.061089330004000;75285.583764819996000;113050.901963020010000;59447.060155960004000;88436.678744940000000;SE JERICO;0.000000000000000;0.000000000000000
7;17067325;JRC-L2;12908333;12873430;63301012927424787MT;49;1.029000000000000;0;0;6600;12908379;427553.292727969990000;351118.101607160000000;367411.673769999990000;349223.726982450000000;354403.695213810020000;356389.047414059980000;398281.932035929990000;461709.665820820020000;489762.040751110010000;542278.387245840040000;510529.423815139980000;521594.393725859990000;0.000000000000000;141283.274999999990000;128869.230000000000000;19565.384999999998000;0.000000000000000;239408.295000000010000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;48898.717305830003000;25731.131027780000000;32490.816673300000000;21017.910105890001000;24261.380113570001000;35182.693727710001000;43337.070689239998000;57980.500965630003000;56066.527230410000000;79640.498860249994000;41955.105432379998000;62950.448435639999000;SE JERICO;0.000000000000000;0.000000000000000
8;17067328;JTB-L1;404082600;12873438;69007487922027178MT;49;1.029000000000000;0;0;6600;12908513;499346.161790770010000;452779.992333320030000;491188.311309840010000;486173.165423100000000;511406.349286790010000;471769.034322700000000;497166.861355710020000;519224.702581589980000;527378.271379860000000;604735.935530920050000;582074.611997000060000;589598.004895900030000;0.000000000000000;208134.674999999990000;84658.244999999995000;28632.555000000000000;0.000000000000000;347261.145000000020000;0.000000000000000;0.000000000000000;21.345499149999998;19.660232940000000;27.135557009999999;12.401460170000000;14.531680010000001;19.444442120000001;20.762651890000001;25.864715380000000;22.208851610000000;31.228460940000002;0.000000000000000;29.828440789999998;70533.193330830007000;39337.789202460001000;49955.057164040001000;32772.610646829999000;38377.760028420002000;53549.047890909998000;62685.876005780003000;81175.657595230005000;74565.194621799994000;107170.577399830000000;61047.554754960001000;85952.557787669997000;SE JATOBA;0.000000000000000;0.000000000000000
9;17067332;JTB-L4;12908502;12873438;69005414922026585MT;49;1.029000000000000;0;0;6600;12908513;1819687.310188310000000;1650765.207123010000000;1756765.268774470100000;1641227.107061310000000;1615132.223988180000000;1523664.480085250000000;1589686.314322989900000;1651587.187212429900000;1767771.597573299900000;1725510.374275040100000;1751813.148078280000000;1783688.541927840100000;0.000000000000000;243281.010000000010000;600182.310000000060000;46758.809999999998000;0.000000000000000;395281.530000000030000;0.000000000000000;0.000000000000000;6187.575673250000400;3529.185285650000000;3950.480706840000000;2226.552664310000200;1923.947625950000000;4342.356382480000300;5214.792540770000400;6175.915028180000300;5658.850091080000300;7677.319065689999700;4177.078705480000300;6301.200606790000200;248715.434887670010000;138197.122968000010000;176424.255123749990000;111807.659795329990000;124100.064872040010000;168442.367241570000000;192195.891185730000000;249093.064889350000000;242577.687298640000000;288411.701722899980000;174998.918562250010000;249108.693464129990000;SE JATOBA;0.000000000000000;0.000000000000000
10;17067341;MLT-L2;12912894;12912330;66284306923656643MT;49;1.029000000000000;0;0;6600;12912951;400815.247590010000000;354253.345862669990000;379322.272284129980000;361092.783974600020000;365106.804350800000000;335047.074490520000000;355968.681664790030000;365235.316589939990000;388898.154778759980000;425043.126062660010000;405232.362276530010000;456729.072514629980000;0.000000000000000;125851.005000000000000;88758.389999999999000;14838.600000000000000;0.000000000000000;180009.165000000010000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;56042.359425399998000;30537.414034130001000;39361.190569279999000;25440.077429239998000;29523.038002090001000;38427.794361499997000;45740.421553870001000;57950.510091040000000;54681.104147600003000;79944.222544150005000;42092.939174380001000;69910.466712060006000;SE MALTA;0.000000000000000;0.000000000000000
11;17067344;MLT-L4;12912894;12912330;66288297923655653MT;49;1.029000000000000;0;0;6600;12912951;303308.476585429980000;280257.452219930010000;295335.571496860010000;267639.636683419990000;269271.372397580010000;256803.084244660010000;273649.957661459980000;278569.731063910000000;295584.557678200010000;342701.819713049980000;311603.327398479970000;350812.262526659990000;0.000000000000000;4776.345000000000300;84639.029999999999000;12001.920000000000000;0.000000000000000;97010.970000000001000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;42087.793285610001000;24153.461189099999000;30556.525744809998000;18638.359840820001000;21503.494826560000000;29269.830230079999000;34966.536927749999000;43899.142683320002000;41275.115452929997000;64636.229726040001000;32220.081558620001000;53462.540671559997000;SE MALTA;0.000000000000000;0.000000000000000
12;17067350;PBL-L1;404048254;12873429;63156499925057332MT;49;1.029000000000000;0;0;6600;12909835;276240.058179099990000;221603.671185730000000;218242.927733110000000;210239.786200400010000;220137.800637170000000;206384.761704679990000;287719.309120089980000;342805.649139920020000;395192.605442540020000;452850.697215529970000;347777.495415709970000;403145.285630950010000;0.000000000000000;56446.004999999997000;12466.334999999999000;16359.735000000001000;0.000000000000000;387728.145000000020000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;39348.813757550000000;19008.631759460000000;22809.097597069998000;14458.128892670000000;16302.848885390000000;24267.270601360000000;36400.766307639999000;54056.837686929997000;55802.480982269997000;83381.459751510003000;36538.459465489999000;60227.141706659997000;SE POMBAL;0.000000000000000;0.000000000000000
13;17067355;PBL-L3;12909729;12873429;63155614925058166MT;49;1.029000000000000;0;0;6600;12909835;809606.296109850050000;660716.989045609950000;611523.843892619950000;566183.175351990040000;543805.067758950060000;542867.285178159950000;590314.766006199990000;626864.224853049960000;578504.795503400030000;782766.626317290010000;707088.717177390000000;764200.736089030050000;0.000000000000000;299925.150000000020000;42735.000000000000000;8203.860000000000600;0.000000000000000;244461.000000000000000;0.000000000000000;0.000000000000000;17925.570417870000000;8577.643983960000700;9914.747156120000000;7042.008251569999600;6808.187829180000300;10526.425507430000000;10805.245675040000000;13885.733383040000000;10728.089873290000000;19507.194362319999000;10901.181488579999000;16895.856372060000000;23988.613520470000000;13103.246398150000000;17296.957962249999000;11127.406648100001000;12671.704161400001000;17201.283130010001000;21021.750179319999000;28316.312686640002000;26655.941293839998000;39745.515318760001000;19270.175065759999000;30965.927022640000000;SE POMBAL;0.000000000000000;0.000000000000000
14;17067359;PBL-L5;404048254;12873429;63156364925057976MT;49;1.029000000000000;0;0;6600;12909835;266361.898162979980000;239384.772735650010000;247529.756979380010000;240003.446382850000000;260205.165835480000000;229077.056645330010000;286663.775733060030000;344731.450508170000000;378462.352925680000000;419541.991936800010000;356353.604128409990000;360497.048760420000000;0.000000000000000;63699.824999999997000;55852.964999999997000;13047.090000000000000;0.000000000000000;227086.019999999990000;0.000000000000000;0.000000000000000;312.554417740000020;177.944382859999990;214.802489650000010;75.252531239999996;161.188884010000010;201.397282289999990;285.408525600000020;385.342357520000010;353.675961859999970;328.129138259999990;267.643177980000020;332.061858190000010;35656.574997999996000;19575.127431569999000;25014.286351549999000;16392.323641210001000;18887.244417340000000;26142.648624820002000;34386.296343970003000;51923.843841870003000;50978.284664960003000;74017.355384909999000;35661.385674060002000;50855.333565440000000;SE POMBAL;0.000000000000000;0.000000000000000
15;17067364;PCO-L2;404086901;12873432;61402898920245479MT;49;1.029000000000000;0;0;6600;12909972;400424.421461939990000;357232.995161029980000;372037.127438000000000;374839.171868050010000;352456.177952350000000;330513.517352050000000;353827.992919130020000;395563.710154330010000;414140.146548510010000;463443.181915790020000;410667.418351689990000;468285.112803509980000;0.000000000000000;199244.745000000000000;96605.354999999996000;17504.130000000001000;0.000000000000000;202950.090000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;49500.805804670003000;27015.134455989999000;34914.748833610000000;22072.504561890000000;25277.934617380000000;34977.111210870004000;41284.047118809998000;54975.415331559998000;51279.941591249997000;67806.711368639997000;37219.924892509996000;55702.338705659997000;SE PIANCO;0.000000000000000;0.000000000000000
16;17067368;PCO-L4;12909920;12873432;61403335920244468MT;49;1.029000000000000;0;0;6600;12909972;787933.254461620000000;693312.608197559950000;685698.348733600000000;731384.142261810020000;701766.767727790050000;661849.583677949970000;705293.422418880040000;778712.765219390040000;813112.100521099990000;978774.198585540060000;869509.851629500040000;964377.411198340010000;0.000000000000000;527496.479999999980000;173685.435000000000000;32213.474999999999000;0.000000000000000;447397.544999999980000;0.000000000000000;0.000000000000000;2102.597143059999800;1013.812678690000000;1088.448366130000100;1287.338282190000000;1594.782733600000000;2283.131039790000200;2544.360111049999900;3250.383355580000200;2672.002459100000100;3186.776925619999900;1780.375450190000000;2693.914606150000100;84138.681304629994000;45714.529188280001000;56879.111274379997000;36446.191826479997000;42067.530178020002000;57376.606462980002000;67115.667816999994000;88771.917688200003000;84771.961170490002000;124714.210574260000000;68937.917470779998000;99816.907618750003000;SE PIANCO;0.000000000000000;0.000000000000000
17;17067369;PLT-L1;404056824;12873426;65349250926986044MT;49;1.029000000000000;0;0;6600;12910083;241342.985833379990000;222139.400343960010000;231494.625129300000000;238133.752876310000000;255839.583347609990000;219313.772811120000000;251056.565547100010000;273584.412502270020000;293471.188365890000000;269732.821644550010000;231356.396674270010000;239748.598813569990000;0.000000000000000;30508.169999999998000;50317.680000000000000;7150.500000000000000;0.000000000000000;144360.929999999990000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;26704.194348569999000;14535.743134099999000;19273.416294279999000;12873.644702550000000;14557.782676839999000;20275.556329049999000;24842.430212660001000;32950.117031560003000;32016.523744149999000;36530.618741650003000;17972.446999840002000;26244.473863960000000;SE PAULISTA;0.000000000000000;0.000000000000000
18;17067372;PLT-L3;12910035;12873426;65348628926986822MT;49;1.029000000000000;0;0;6600;12910083;583211.682745079980000;538663.518831599970000;524079.552944229970000;510105.902621809980000;552323.574196779980000;467904.834966229970000;510833.353584519990000;536965.307754519980000;557336.443197860030000;631799.894421129950000;598444.877377300060000;657077.078830449960000;0.000000000000000;32979.239999999998000;211942.815000000000000;15239.280000000001000;0.000000000000000;152654.250000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;64287.072076190001000;35118.495547550003000;43252.659339379999000;27226.777097139999000;31039.724455320000000;42659.225606280001000;49679.755153200000000;63467.759913210000000;59641.277532070002000;85036.248509190002000;46534.432050399999000;72300.269568629999000;SE PAULISTA;0.000000000000000;0.000000000000000
19;17067376;PRI-L1;404043948;12873434;61059225914363609MT;49;1.029000000000000;0;0;6600;12910196;1233580.143784410100000;1106312.303964280100000;1093252.903441079900000;1105834.980004820000000;1124564.574279469900000;1010945.650302570000000;1053188.931956769900000;1102880.887057980100000;1132936.880207269900000;1307701.032332140000000;1201435.259248360100000;1309213.086557920100000;0.000000000000000;106549.800000000000000;519863.400000000020000;51791.565000000002000;0.000000000000000;298925.549999999990000;0.000000000000000;0.000000000000000;3371.050156079999900;1901.240899140000000;2582.640280269999900;2028.247036990000000;2476.023808930000100;3329.300948210000100;3579.312839920000000;3923.056417209999800;2795.678001490000000;3784.677591510000200;2072.263922099999900;3224.347097559999800;162535.359686979990000;88623.370635879997000;110054.287757540010000;69236.857426679999000;79132.288196509995000;105160.655111770000000;122318.271148150000000;156619.202173900000000;150545.129367840010000;219316.425338039990000;121397.274606540000000;182521.141798800000000;SE PRINCESA ISABEL;0.000000000000000;0.000000000000000
20;17067378;PRI-L3;404043948;12873434;61059884914362379MT;49;1.029000000000000;0;0;6600;12910196;920776.303771769980000;814373.339303649960000;817116.402066890030000;848278.089991539950000;865268.222100330050000;811957.832924559950000;825035.028139829980000;883362.218199879980000;919569.044222360010000;1020271.881036460100000;963408.262781100000000;983408.995658740050000;0.000000000000000;667698.885000000010000;231591.149999999990000;47656.559999999998000;0.000000000000000;358085.174999999990000;0.000000000000000;0.000000000000000;2720.961848439999800;1436.160741640000000;2055.158785480000000;1837.162513069999900;2261.410256530000000;2815.348989539999800;2996.493354820000100;3974.328739590000200;3556.365870399999900;4756.767072570000000;2644.676661470000000;3359.533578560000000;116235.039476139990000;62742.944871560001000;78727.929481130006000;50088.422005690001000;57203.577451140001000;81284.379183950005000;91617.629191970002000;117259.178360000010000;112133.825961910000000;155925.143566790010000;89738.982471409996000;127939.524054430000000;SE PRINCESA ISABEL;0.000000000000000;0.000000000000000
