OBJECTID,COD_ID,DIST,FAS_CON,SIT_ATIV,TIP_UNID,POT_NOM,PAC_1,PAC_2,CTMT,UNI_TR_S,SUB,CONJ,MUN,DAT_CON,BANC,POS,DESCR,ARE_LOC
"1","12910620","6600",ABC,AT,"10","14",RIC12910630, ,"26260976","281690694","12873447","13729","2512754",01/01/1920,"0",PD, ,UB
"2","12910817","6600",ABC,AT,"10","16",RTT12910871, ,"51696925","12910813","12873487","13730","2512903",01/01/1920,"0",PD, ,UB
"3","12910818","6600",ABC,AT,"10","16",RTT12910875, ,"51696927","12910814","12873487","13730","2512903",01/01/1920,"0",PD, ,UB
"4","12910959","6600",ABC,AT,"10","18",SBT12910969, ,"17067404","12910960","12873428","13731","2513901",01/01/1920,"0",PD, ,NU
"5","12911174","6600",ABC,AT,"10","14",SME488798908, ,"26260963","12911166","12873446","13735","2516300",01/01/1920,"0",PD, ,UB
"6","12874112","6600",ABC,AT,"10","18",ARA98753445, ,"26260944","12874110","12873458","13684","2501104",01/01/1920,"0",PD, ,UB
"7","12874325","6600",ABC,AT,"10","18",ARR12874333, ,"26260949","397864865","12873450","13686","2501302",01/01/1920,"0",PD, ,UB
"8","12874436","6600",ABC,AT,"10","14",BJC21847901, ,"284666436","12874437","12873437","13687","2502805",01/01/1920,"0",PD, ,UB
"9","12874550","6600",ABC,AT,"10","17",BNR12874585, ,"26260944","12874110","12873448","16189","2501500",01/01/1920,"0",PD, ,UB
"10","12874800","6600",ABC,AT,"10","14",BSA96006573, ,"51696816","12874810","12873418","13690","2503209",01/01/1920,"0",PD, ,UB
"11","12874801","6600",ABC,AT,"10","14",BSA454163507, ,"51696817","12874812","12873418","13690","2503209",01/01/1920,"0",PD, ,UB
"12","12874947","6600",ABC,AT,"10","18",CAA12874959, ,"51696822","498468998","12873477","13692","2503001",01/01/1920,"0",PD, ,NU
"13","12875253","6600",ABC,AT,"10","14",CBD97092001, ,"51696828","12875251","12873420","13693","2503209",01/01/1920,"0",PD, ,UB
"14","12875254","6600",ABC,AT,"10","14",CBD97091812, ,"51696828","12875251","12873420","13693","2503209",01/01/1920,"0",PD, ,UB
"15","12875583","6600",ABC,AT,"10","14",CJZ12875614, ,"17067277","207357388","12873431","13695","2503704",01/01/1920,"0",PD, ,UB
