OBJECTID,COD_ID,DIST,FAS_CON,SIT_ATIV,TIP_UNID,PAC_1,PAC_2,CTMT,UNI_TR_S,SUB,CONJ,MUN,DAT_CON,BANC,POS,DESCR
"1","320380142","6600",ABC,AT,"13",60397344917714660MT,60397394917714574MT,"17067317","12907810","12873433","13707","2511004",01/01/1920,"1",PD, 
"2","335443000","6600",ABC,AT,"13",55641141916540268MT,55641044916540243MT,"387937142","12877171","12873436","13704","2504405",01/01/1920,"1",PD, 
"3","339110082","6600",ABC,AT,"13",59036095924611374MT,59036170924611309MT,"17067450","12911923","12873440","13739","2516201",01/01/1920,"1",PD, 
"4","339127259","6600",ABC,AT,"13",59206617923883910MT,59206628923883811MT,"17067410","12913378","12912331","13732","2516201",01/01/1920,"1",PD, 
"5","339286145","6600",ABC,AT,"13",71140974919462647MT,71140975919462746MT,"17067458","12912294","12873427","13742","2505402",01/01/1920,"1",PD, 
"6","342334869","6600",ABC,AT,"13",78686274923959720MT,78686299923959623MT,"26260943","12913257","12912336","13726","2515401",01/01/1920,"1",PD, 
"7","342489457","6600",ABC,AT,"13",85901964914562356MT,85901945914562455MT,"26260941", ,"12873461","13743","2517001",01/01/1920,"1",PD, 
"8","343884993","6600",ABC,AT,"13",74152329912830981MT,74152398912831054MT,"26260955","12913075","12912333","13716","2503902",01/01/1920,"1",PD, 
"9","344348757","6600",ABC,AT,"13",81696465927171214MT,81696424927171123MT,"26260904","12912606","12912335","13698","2505105",01/01/1920,"1",PD, 
"10","344687991","6600",ABC,AT,"13",91256869919248096MT,91256926919248177MT,"51696859","12876668","12873419","13706","2511509",01/01/1920,"1",PD, 
"11","345207556","6600",ABC,AT,"13",82335804925722074MT,82335885925722017MT,"26260904","12912606","12912335","13698","2501609",01/01/1920,"1",PD, 
"12","345658426","6600",ABC,AT,"13",74700113913948993MT,74700180913948918MT,"26260962","12911166","12873446","13735","2516300",01/01/1920,"1",PD, 
"13","347178509","6600",ABC,AT,"13",92935073925572704MT,92935054925572605MT,"384872401","12875414","12912337","15806","2512903",01/01/1920,"1",PD, 
"14","360361078","6600",ABC,AT,"13",54649571923221878MT,54649546923221781MT,"17067269","207357388","12873431","13695","2503704",01/01/1920,"1",PD, 
"15","361906926","6600",ABC,AT,"14",54926072922200094MT,54926141922200021MT,"17067269","207357388","12873431","13695","2514503",01/01/1920,"1",PD, 
"16","365788696","6600",ABC,AT,"14",55400512921294334MT,55400611921294346MT,"17067269","207357388","12873431","13695","2514503",01/01/1920,"1",PD, 
"17","381083965","6600",ABC,AT,"13",92703419926924020MT,92703424926923921MT,"51696887","12875414","12912337","15806","2508901",03/05/2019,"1",PD, 
"18","382797240","6600",ABC,AT,"13",64175604921530837MT,64175675921530766MT,"17067289","12912497","12912329","13697","2505907",01/01/1920,"1",PD, 
"19","383037700","6600",ABC,AT,"13",68021770918941252MT,68021693918941189MT,"17067455","12912294","12873427","13742","2509396",21/05/2019,"1",PD, 
"20","383840733","6600",ABC,AT,"13",87856612925341900MT,87856703925341943MT,"26260938","12874110","12873448","16189","2501500",24/07/2019,"1",PD, 
"21","385047299","6600",ABC,AT,"14",79790986927685338MT,79791043927685255MT,"26260923","12913163","12912334","13721","2511400",01/01/1920,"1",PD, 
"22","385751498","6600",C,AT,"13",70380322912829620MT,70380227912829651MT,"26260953","12913075","12912333","13716","2509701",01/01/1920,"0",PD, 
"23","385837522","6600",ABC,AT,"13",94115876924279382MT,94115963924279333MT,"51696924","12910813","12873487","13730","2512903",01/01/1920,"1",PD, 
"24","388031627","6600",ABC,AT,"13",75430398922468781MT,75430309922468826MT,"26260956","12908668","12873453","16188","2507804",16/07/2019,"1",PD, 
"25","389384600","6600",ABC,AT,"13",88498882919162568MT,88498783919162551MT,"51696865","12876668","12873419","13706","2509404",17/04/2019,"1",PD, 
